# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.243296144196e-01 2.243296144196e-01 2.243296144196e-01 2.243296144196e-01 1.595234513451e-01 1.595234513451e-01 1.595234512995e-01 1.595234512266e-01
8.640000000000e+04 2.689437949453e+02 2.689437949453e+02 2.695447766777e+02 2.699182919739e+02 2.700469143564e+02 2.701339875384e+02 2.701480343681e+02 2.701496863147e+02 2.243279797045e-01 2.243279797045e-01 2.243286540709e-01 2.243292031799e-01 1.595222201945e-01 1.595232542027e-01 1.595234269757e-01 1.595234473427e-01
1.728000000000e+05 2.676723706804e+02 2.676723706804e+02 2.687363712385e+02 2.695025868877e+02 2.698000825301e+02 2.700621124171e+02 2.701307685117e+02 2.701449103815e+02 2.243270503805e-01 2.243270503805e-01 2.243277905679e-01 2.243285992859e-01 1.595195911805e-01 1.595223957087e-01 1.595232147136e-01 1.595233883122e-01
2.592000000000e+05 2.664577850362e+02 2.664577850362e+02 2.678934777390e+02 2.690173290802e+02 2.694804984520e+02 2.699440505598e+02 2.700939072469e+02 2.701323819470e+02 2.243264989977e-01 2.243264989977e-01 2.243271789369e-01 2.243280514323e-01 1.595167260028e-01 1.595210722038e-01 1.595227697760e-01 1.595232343709e-01
3.456000000000e+05 2.653783160155e+02 2.653783160155e+02 2.670944027780e+02 2.685134099649e+02 2.691220725227e+02 2.697872723864e+02 2.700351579304e+02 2.701092648599e+02 2.243261567096e-01 2.243261567096e-01 2.243267597165e-01 2.243276065877e-01 1.595140641690e-01 1.595194625219e-01 1.595220829407e-01 1.595229537359e-01
4.320000000000e+05 2.643721057767e+02 2.643721057767e+02 2.663310890128e+02 2.680049894504e+02 2.687422148073e+02 2.696000185822e+02 2.699547124711e+02 2.700737971631e+02 2.243259151690e-01 2.243259151690e-01 2.243264530608e-01 2.243272480731e-01 1.595117243368e-01 1.595177308429e-01 1.595211844310e-01 1.595225315717e-01
5.184000000000e+05 2.634984091017e+02 2.634984091017e+02 2.656364155522e+02 2.675135774081e+02 2.683580280260e+02 2.693908476951e+02 2.698544437474e+02 2.700252935190e+02 2.243257472464e-01 2.243257472464e-01 2.243262293799e-01 2.243269644302e-01 1.595097417774e-01 1.595160049160e-01 1.595201274203e-01 1.595219701419e-01
6.048000000000e+05 2.627366842045e+02 2.627366842045e+02 2.650106299147e+02 2.670482583323e+02 2.679803548791e+02 2.691674178084e+02 2.697371376303e+02 2.699639579405e+02 2.243256243948e-01 2.243256243948e-01 2.243260613409e-01 2.243267389419e-01 1.595080851762e-01 1.595143656457e-01 1.595189715580e-01 1.595212852617e-01
6.912000000000e+05 2.619784881629e+02 2.619784881629e+02 2.644010828088e+02 2.665926733920e+02 2.676056432838e+02 2.689337873468e+02 2.696054738037e+02 2.698905204881e+02 2.243255191617e-01 2.243255191617e-01 2.243259213285e-01 2.243265499070e-01 1.595066691365e-01 1.595128410869e-01 1.595177675389e-01 1.595204999890e-01
7.776000000000e+05 2.613496907081e+02 2.613496907081e+02 2.638599064600e+02 2.661656957020e+02 2.672433693421e+02 2.686945494727e+02 2.694621540167e+02 2.698060461464e+02 2.243254424069e-01 2.243254424069e-01 2.243258127947e-01 2.243263956639e-01 1.595054741601e-01 1.595114488953e-01 1.595165570157e-01 1.595196403988e-01
