# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.243296144196e-01 2.243296144196e-01 2.243296144196e-01 2.243296144196e-01 1.595234513451e-01 1.595234513451e-01 1.595234512995e-01 1.595234512266e-01
8.640000000000e+04 2.689745262286e+02 2.689745262286e+02 2.695603103338e+02 2.699242699398e+02 2.700495847622e+02 2.701344048470e+02 2.701480857898e+02 2.701496945373e+02 2.243280093659e-01 2.243280093659e-01 2.243286745745e-01 2.243292130290e-01 1.595222509839e-01 1.595232593118e-01 1.595234276116e-01 1.595234474445e-01
1.728000000000e+05 2.677151603919e+02 2.677151603919e+02 2.687620123761e+02 2.695148198052e+02 2.698069008330e+02 2.700639024822e+02 2.701311704125e+02 2.701450179677e+02 2.243270744225e-01 2.243270744225e-01 2.243278129557e-01 2.243286150366e-01 1.595196583607e-01 1.595224165780e-01 1.595232196262e-01 1.595233896398e-01
2.592000000000e+05 2.664953219952e+02 2.664953219952e+02 2.679194590323e+02 2.690319255655e+02 2.694898645967e+02 2.699473108604e+02 2.700948706622e+02 2.701326981055e+02 2.243265129523e-01 2.243265129523e-01 2.243271947750e-01 2.243280659827e-01 1.595168026270e-01 1.595211073872e-01 1.595227812650e-01 1.595232382395e-01
3.456000000000e+05 2.653992516884e+02 2.653992516884e+02 2.671125963882e+02 2.685260415047e+02 2.691314686715e+02 2.697914988763e+02 2.700367241612e+02 2.701098700417e+02 2.243261624193e-01 2.243261624193e-01 2.243267679970e-01 2.243276165250e-01 1.595141277727e-01 1.595195038825e-01 1.595221009067e-01 1.595229610269e-01
4.320000000000e+05 2.643818364913e+02 2.643818364913e+02 2.663420335901e+02 2.680145064892e+02 2.687503163814e+02 2.696045905296e+02 2.699567743494e+02 2.700747148386e+02 2.243259172328e-01 2.243259172328e-01 2.243264569598e-01 2.243272541162e-01 1.595117700126e-01 1.595177708981e-01 1.595212068811e-01 1.595225423688e-01
5.184000000000e+05 2.634893938957e+02 2.634893938957e+02 2.656360382982e+02 2.675176829270e+02 2.683632065346e+02 2.693950233493e+02 2.698567702663e+02 2.700264800575e+02 2.243257456761e-01 2.243257456761e-01 2.243262292699e-01 2.243269665898e-01 1.595097664930e-01 1.595160374817e-01 1.595201511983e-01 1.595219836629e-01
6.048000000000e+05 2.627076969067e+02 2.627076969067e+02 2.649970886232e+02 2.670453090643e+02 2.679812087206e+02 2.691704110622e+02 2.697394062717e+02 2.699653044229e+02 2.243256200829e-01 2.243256200829e-01 2.243260579971e-01 2.243267376250e-01 1.595080888727e-01 1.595143864379e-01 1.595189931394e-01 1.595213000064e-01
6.912000000000e+05 2.619337944122e+02 2.619337944122e+02 2.643758383831e+02 2.665825392947e+02 2.676015668469e+02 2.689349495191e+02 2.696073234919e+02 2.698918667668e+02 2.243255134141e-01 2.243255134141e-01 2.243259159601e-01 2.243265460076e-01 1.595066550835e-01 1.595128483593e-01 1.595177838184e-01 1.595205140584e-01
7.776000000000e+05 2.612933701587e+02 2.612933701587e+02 2.638251632049e+02 2.661490031975e+02 2.672343626907e+02 2.686934514885e+02 2.694632453345e+02 2.698072046935e+02 2.243254359399e-01 2.243254359399e-01 2.243258062683e-01 2.243263900255e-01 1.595054466555e-01 1.595114430076e-01 1.595165658688e-01 1.595196518867e-01
