name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha_p,0.01,0.00375,0.0025,0.0175,0.00569245,0.00374999,-0.00180753,0.0131924
alpha_m,0.00182491,0.000684343,0.000456229,0.0031936,0.00179797,0.00068434,0.000429291,0.00316665
n_p,2.05,0.5125,1.025,3.075,2.04984,0.512493,1.02486,3.07483
n_m,2.05,0.5125,1.025,3.075,2.05001,0.512484,1.02504,3.07497
wr_p,0.224324,0.0841216,0.056081,0.392567,0.226657,0.084113,0.0584312,0.394883
wr_m,0.159488,0.059808,0.039872,0.279104,0.160728,0.0598056,0.0411172,0.28034
tcs_p,0.439577,0.164841,0.109894,0.769259,0.441024,0.164834,0.111356,0.770693
tcs_m,0.952105,0.357039,0.238026,1.66618,0.95194,0.357035,0.23787,1.66601
tcd_p,0.101023,0.0378838,0.0252559,0.176791,0.102463,0.0378837,0.0266954,0.17823
tcd_m,0.984405,0.369152,0.246101,1.72271,0.98432,0.369151,0.246018,1.72262
af_p,1.50511,0.564418,0.376279,2.63395,1.5051,0.564417,0.376264,2.63393
af_m,1.49939,0.562271,0.374847,2.62393,1.4994,0.562271,0.374857,2.62394
auf_p,0.486935,0.182601,0.121734,0.852137,0.486314,0.182599,0.121116,0.851512
auf_m,0.698884,0.262082,0.174721,1.22305,0.698884,0.262081,0.174721,1.22305
por_p,0.637395,0.239023,0.159349,1.11544,0.638052,0.238995,0.160062,1.11604
por_m,0.481031,0.180387,0.120258,0.841804,0.481361,0.180374,0.120612,0.842109
perm_p,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,1.33666e-11,2.00498e-11,-2.67331e-11,5.34662e-11
perm_m,1e-13,3.75e-14,2.5e-14,1.75e-13,1.22239e-13,3.75e-14,4.72395e-14,1.97239e-13
den_p,900,337.5,225,1575,900,337.5,225,1575
den_m,1900,475,950,2850,1900,474.999,950.001,2850
b_bc,268.45,2.75,262.95,273.95,268.45,2.75,262.95,273.95
