name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.01,0.00375,0.0025,0.0175,0.0025,0.00374801,-0.00499603,0.00999603
ALPHA_M,0.00182491,0.000684343,0.000456229,0.0031936,0.00269996,0.000684332,0.0013313,0.00406862
N_P,2.05,0.5125,1.025,3.075,1.96066,0.512033,0.936596,2.98473
N_M,2.05,0.5125,1.025,3.075,2.0462,0.512315,1.02157,3.07083
WR_P,0.224324,0.0841216,0.056081,0.392567,0.230644,0.0840947,0.0624541,0.398833
WR_M,0.159488,0.059808,0.039872,0.279104,0.182415,0.0597989,0.0628172,0.302013
TCS_P,0.439577,0.164841,0.109894,0.769259,0.542689,0.16481,0.213069,0.872309
TCS_M,0.952105,0.357039,0.238026,1.66618,0.939177,0.357027,0.225123,1.65323
TCD_P,0.101023,0.0378838,0.0252559,0.176791,0.172143,0.0378836,0.0963755,0.24791
TCD_M,0.984405,0.369152,0.246101,1.72271,0.976389,0.369142,0.238105,1.71467
AF_P,1.50511,0.564418,0.376279,2.63395,1.49775,0.564382,0.368991,2.62652
AF_M,1.49939,0.562271,0.374847,2.62393,1.49964,0.562269,0.375104,2.62418
AUF_P,0.486935,0.182601,0.121734,0.852137,0.446759,0.182594,0.0815702,0.811947
AUF_M,0.698884,0.262082,0.174721,1.22305,0.698796,0.262081,0.174633,1.22296
POR_P,0.637395,0.239023,0.159349,1.11544,0.703044,0.238898,0.225249,1.18084
POR_M,0.481031,0.180387,0.120258,0.841804,0.481504,0.180344,0.120816,0.842192
PERM_P,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,1.33666e-11,2.00498e-11,-2.67329e-11,5.34661e-11
PERM_M,1e-13,3.75e-14,2.5e-14,1.75e-13,2.5e-14,3.74998e-14,-4.99996e-14,9.99996e-14
DEN_P,900,337.5,225,1575,900,337.5,225,1575
DEN_M,1900,475,950,2850,1900,474.997,950.006,2849.99
