obsnme,obsval,weight,obgnme
stemp_0.04_0,260.64215277777777,0.000195160031225605,temp
stemp_0.04_1,261.2884027777778,0.000195160031225605,temp
stemp_0.04_2,261.3254861111111,0.000195160031225605,temp
stemp_0.04_3,261.15215277777776,0.000195160031225605,temp
stemp_0.04_4,260.7784027777777,0.000195160031225605,temp
stemp_0.04_5,260.3230555555555,0.000195160031225605,temp
stemp_0.04_6,260.37819444444443,0.000195160031225605,temp
stemp_0.04_7,259.75854166666664,0.000195160031225605,temp
stemp_0.04_8,259.4414583333333,0.000195160031225605,temp
stemp_0.04_9,259.17256944444443,0.000195160031225605,temp
stemp_0.04_10,259.3997222222222,0.000195160031225605,temp
stemp_0.04_11,258.8128472222222,0.000195160031225605,temp
stemp_0.04_12,258.32645833333333,0.000195160031225605,temp
stemp_0.04_13,258.00166666666667,0.000195160031225605,temp
stemp_0.04_14,258.58590277777773,0.000195160031225605,temp
stemp_0.04_15,258.8353472222222,0.000195160031225605,temp
stemp_0.04_16,259.01944444444445,0.000195160031225605,temp
stemp_0.04_17,259.0142361111111,0.000195160031225605,temp
stemp_0.04_18,259.17312499999997,0.000195160031225605,temp
stemp_0.04_19,258.7782638888889,0.000195160031225605,temp
stemp_0.04_20,258.1564583333333,0.000195160031225605,temp
stemp_0.04_21,257.205,0.000195160031225605,temp
stemp_0.04_22,255.8992361111111,0.000195160031225605,temp
stemp_0.04_23,255.3264583333333,0.000195160031225605,temp
stemp_0.04_24,255.27076388888887,0.000195160031225605,temp
stemp_0.04_25,255.34437499999999,0.000195160031225605,temp
stemp_0.04_26,256.3877083333333,0.000195160031225605,temp
stemp_0.04_27,257.0275694444444,0.000195160031225605,temp
stemp_0.04_28,257.2752083333333,0.000195160031225605,temp
stemp_0.04_29,257.6142361111111,0.000195160031225605,temp
stemp_0.04_30,257.85229166666664,0.000195160031225605,temp
stemp_0.04_31,258.35840277777777,0.000195160031225605,temp
stemp_0.04_32,258.1114583333333,0.000195160031225605,temp
stemp_0.04_33,258.15430555555554,0.000195160031225605,temp
stemp_0.04_34,258.0239583333333,0.000195160031225605,temp
stemp_0.04_35,257.3146527777778,0.000195160031225605,temp
stemp_0.04_36,257.6429166666666,0.000195160031225605,temp
stemp_0.04_37,258.2465972222222,0.000195160031225605,temp
stemp_0.04_38,258.7183333333333,0.000195160031225605,temp
stemp_0.04_39,259.78805555555556,0.000195160031225605,temp
